grupo,serie,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,n
SELIC_Alta(>10%),ret_egarch_norm_10a_cap1_c10,0.02213739271626025,0.10203652340290897,-0.8832919149514818,0.3315764691847792,-0.18970429292796165,0.11669421062952282,2056
SELIC_Alta(>10%),ret_egarch_norm_10a_cap15_c10,0.02213739271626025,0.10203652340290897,-0.8832919149514818,0.3315764691847792,-0.18970429292796165,0.11669421062952282,2056
SELIC_Alta(>10%),ret_egarch_std_10a_cap1_c10,0.01827581102286402,0.10393475898190122,-0.9017096825382004,0.2715945385637793,-0.19592028880478873,0.09328187057274957,2056
SELIC_Alta(>10%),ret_egarch_std_10a_cap15_c10,0.018171778567799057,0.10395886373880535,-0.9024597720867321,0.26989020458562524,-0.19592028880478873,0.09275087679104574,2056
SELIC_Alta(>10%),retEW094_10a_cap1_c10,0.021046303781547593,0.09956349559338847,-0.91846864483530255,0.3255249563669363,-0.18570680737299505,0.11333081473570196,2056
SELIC_Alta(>10%),ret_10a_cap1_c10,0.021046303781547593,0.09956349559338847,-0.91846864483530255,0.3255249563669363,-0.18570680737299505,0.11333081473570196,2056
SELIC_Alta(>10%),retEW094_10a_cap15_c10,0.021046303781547593,0.09956349559338847,-0.91846864483530255,0.3255249563669363,-0.18570680737299505,0.11333081473570196,2056
SELIC_Alta(>10%),ret_10a_cap15_c10,0.021046303781547593,0.09956349559338847,-0.91846864483530255,0.3255249563669363,-0.18570680737299505,0.11333081473570196,2056
SELIC_Baixa(<=6%),ret_bh,0.04715579935180303,0.33405070616241916,0.20617884473956352,0.15846340029191303,-0.4693169006552962,0.10047752230094525,532
SELIC_Baixa(<=6%),ret_egarch_std_15a_cap15_c10,0.0319477213463788,0.1608753497686207,0.06520514912219355,0.25542022299293854,-0.20721885792782824,0.15417381248914033,532
SELIC_Baixa(<=6%),retEW097_15a_cap15_c10,0.02829193452308809,0.17287599913720209,0.05189190381886795,0.20372155009661708,-0.23397970332956575,0.12091619110756054,532
SELIC_Baixa(<=6%),retEW094_15a_cap15_c10,0.02835511564917126,0.1524358402408835,0.0372670973026762,0.23112009735766625,-0.20491873144239336,0.1383724925953996,532
SELIC_Baixa(<=6%),ret_15a_cap15_c10,0.02835511564917126,0.1524358402408835,0.0372670973026762,0.23112009735766625,-0.20491873144239336,0.1383724925953996,532
SELIC_Baixa(<=6%),ret_egarch_std_15a_cap1_c10,0.02689257901338893,0.1582522232101936,0.03262978017029075,0.2167472100584611,-0.20721885792782824,0.12977862769012694,532
SELIC_Baixa(<=6%),retEW094_15a_cap1_c10,0.02522956827690437,0.15190065978546244,0.01683463397848688,0.20561231891570966,-0.20491873144239336,0.12311987342161002,532
SELIC_Baixa(<=6%),ret_15a_cap1_c10,0.02522956827690437,0.15190065978546244,0.01683463397848688,0.20561231891570966,-0.20491873144239336,0.12311987342161002,532
SELIC_Baixa(<=6%),ret_egarch_std_12a_cap15_c10,0.028157461249497695,0.12870635498476493,0.016509074652692423,0.2813992182491929,-0.1687267650239127,0.16688200740117962,532
SELIC_Baixa(<=6%),ret_egarch_std_12a_cap1_c10,0.027526218000490044,0.12862972475054954,0.01166946796305855,0.275083718224217,-0.16872676502391282,0.1631407915429949,532
SELIC_Baixa(<=6%),retEW097_15a_cap1_c10,0.0215576372598707,0.1703582413594614,0.011577467478977657,0.15601942295094434,-0.23397970332956586,0.09213464652319123,532
SELIC_Baixa(<=6%),retEW097_12a_cap15_c10,0.025586353733737743,0.1383082410454968,0.006624258738897069,0.23029650038309987,-0.1907871816343597,0.1341093962107661,532
SELIC_Baixa(<=6%),retEW097_12a_cap1_c10,0.024936129446065936,0.13824867507246985,0.001981539920417899,0.22444172827266842,-0.1907871816343597,0.13070128313890392,532
SELIC_Baixa(<=6%),ret_gjr_norm_15a_cap15_c10,0.019028778113410638,0.16924374104082654,-0.004133396143989706,0.14024582022614743,-0.23610362575963006,0.08059502708689133,532
SELIC_Baixa(<=6%),retEW094_12a_cap1_c10,0.0246449366667445,0.1219519554781211,-0.017570123001262313,0.25109610232241747,-0.16668060577475186,0.14785725401099797,532
SELIC_Baixa(<=6%),ret_12a_cap1_c10,0.0246449366667445,0.1219519554781211,-0.017570123001262313,0.25109610232241747,-0.16668060577475186,0.14785725401099797,532
SELIC_Baixa(<=6%),retEW094_12a_cap15_c10,0.0246449366667445,0.1219519554781211,-0.017570123001262313,0.25109610232241747,-0.16668060577475186,0.14785725401099797,532
SELIC_Baixa(<=6%),ret_12a_cap15_c10,0.0246449366667445,0.1219519554781211,-0.017570123001262313,0.25109610232241747,-0.16668060577475186,0.14785725401099797,532
SELIC_Baixa(<=6%),ret_egarch_std_10a_cap1_c10,0.024610329452521063,0.1072561159925424,-0.03610093102382296,0.2951398493095092,-0.14226692248864814,0.17298700936252268,532
SELIC_Baixa(<=6%),ret_egarch_std_10a_cap15_c10,0.024610329452521063,0.1072561159925424,-0.03610093102382296,0.2951398493095092,-0.14226692248864814,0.17298700936252268,532
SELIC_Baixa(<=6%),ret_gjr_norm_15a_cap1_c10,0.014028692503644358,0.16674988772589555,-0.03618507863856834,0.10405003539865501,-0.23610362575963006,0.05941752253278204,532
SELIC_Baixa(<=6%),ret_egarch_norm_15a_cap15_c10,0.01426854899729646,0.16229775200003238,-0.04023494730282007,0.10547612110427293,-0.23397970332956575,0.060981994567276133,532
SELIC_Baixa(<=6%),retEW097_10a_cap1_c10,0.022660428185413695,0.11525764640221424,-0.04233473713080404,0.24475309778323567,-0.16101245026437683,0.1407371178328512,532
SELIC_Baixa(<=6%),retEW097_10a_cap15_c10,0.022660428185413695,0.11525764640221424,-0.04233473713080404,0.24475309778323567,-0.16101245026437683,0.1407371178328512,532
SELIC_Baixa(<=6%),ret_gjr_norm_12a_cap15_c10,0.01808095350649208,0.13540091010644045,-0.0504106416063915,0.16657452662553401,-0.19274577113444646,0.09380726435694418,532
